,registry_id,fac_name,fac_lat,fac_long,fac_percent_minority,fac_pop_den,fac_days_last_inspection,fac_curr_compliance_status,fac_curr_snc_flg,tri_releases_transfers,fac_map_flg
63,110000309318,NEW METHOD PLATING CO.INC.,42.25223,-71.81085,42.196999999999996,5288.22,2490.0,No Violation,N,93.0,Y
64,110000309345,WYMAN GORDON CO,42.255990000000004,-71.80299000000001,42.031000000000006,5496.81,2028.0,No Violation,N,1563043.0,Y
65,110000309354,SAINT GOBAIN ABRASIVES,42.3048,-71.8015,32.793,3327.97,46.0,In Violation,Y,18262.0,Y
66,110000309425,HAARTZ CORP,42.48114,-71.457289,20.741,928.65,2088.0,No Violation,N,83212.0,Y
67,110000309470,INTEL FAB 17 SEMICONDUCTOR MANUFACTURING,42.37938,-71.55696,19.902,1717.49,460.0,No Violation,N,27568.0,Y
68,110000309504,DAV-TECH PLATING INC.,42.31623,-71.57923000000001,24.818,1112.06,783.0,No Violation,N,65583.0,Y
69,110000309522,ROHM & HAAS ELECTRONICS MATERIALS,42.32907,-71.5892,23.05,1168.33,332.0,No Violation,N,31360.0,Y
70,110000309586,TRELLEBORG COATING SYSTEMS ARCHER RUBBER,42.13906,-71.5123,14.559000000000001,1364.07,838.0,No Violation,N,58406.0,Y
71,110000309602,LYTRON INC.,42.51225,-71.12853299999999,13.431,2997.43,1843.0,No Violation,N,42899.0,Y
72,110000309684,SHAWSHEEN RUBBER,42.62743,-71.15607,12.763,1051.33,816.0,No Violation,N,214.0,Y
73,110000309728,AOTCO METAL FINISHING CO INC,42.530429999999996,-71.25425,14.347000000000001,1706.12,2923.0,No Violation,N,20030.0,Y
74,110000309737,3M CO STATIC CONTROL SYSTEMS,42.595290000000006,-71.32155,36.445,2477.62,228.0,No Violation,N,26000.0,Y
75,110000309826,KEY POLYMER,42.68817,-71.17916,59.43600000000001,4585.79,410.0,No Violation,N,553.0,Y
77,110000309880,FLOWSERVE-LAWRENCE PUMPS,42.69988,-71.15905,56.622,4898.51,4708.0,No Violation,N,1025.0,Y
78,110000309899,SEKISUI VOLTEK LLC,42.68581,-71.17875,59.53,4562.81,2488.0,No Violation,N,1331.0,Y
79,110000309924,JOHNSON MATTHEY PHARMA SERVICES,42.65636,-71.10835,15.157,1357.88,1299.0,No Violation,N,223975.0,Y
80,110000309951,IDEAL TAPE CO,42.63812,-71.34227,41.568000000000005,4795.05,374.0,No Violation,N,833743.0,Y
81,110000309979,BRADFORD INDUSTRIES,42.635979999999996,-71.30060999999999,41.215,4587.84,1153.0,No Violation,N,50590.0,Y
82,110000310039,STANDEX INTERNATIONAL SPINCRAFT DIVISION,42.584340000000005,-71.269708,13.354000000000001,1632.03,11321.0,No Violation,N,2872.0,Y
84,110000310057,NEXEO SOLUTIONS,42.62072,-71.25941999999999,25.320999999999998,2202.96,759.0,In Violation,N,22089.0,Y
85,110000310066,DSM LIQUID COATING RESINS,42.535761,-71.158455,12.91,2107.56,1586.0,No Violation,N,204223.0,Y
86,110000310084,ANALOG DEVICES MANUFACTURING,42.53073,-71.1494,12.917,2204.78,1458.0,No Violation,N,971.0,Y
88,110000310100,ALLCOAT TECHNOLOGY,42.531376,-71.15368199999999,13.017999999999999,2180.62,1242.0,No Violation,N,83136.0,Y
89,110000310119,TECOMET,42.53031,-71.15332,13.097999999999999,2197.05,250.0,In Violation,N,29766.0,Y
90,110000310164,CL HAUTHAWAY & SONS,42.45762,-70.97468,42.843,6306.17,858.0,No Violation,N,264554.0,Y
91,110000310173,GARELICK FARMS LYNN PLANT,42.45297,-70.96104,42.758,6976.68,1390.0,No Violation,N,23196.0,Y
92,110000310191,GENERAL ELECTRIC AIRCRAFT ENGINES,42.450527,-70.976958,44.123000000000005,6741.69,460.0,In Violation,N,275359.0,Y
93,110000310253,ITW DEVCON PLEXUS,42.55004,-70.92586,14.325,3914.25,67.0,No Violation,N,62154.0,Y
94,110000310315,BOSTIK MANUFACTURING PLANT,42.569383,-71.029235,6.6770000000000005,1248.42,1487.0,No Violation,N,637335.0,Y
95,110000310333,INNOCOR FOAM TECHNOLOGIES NEWBURYPORT LLC,42.7973,-70.88829799999999,4.724,830.7,110.0,No Violation,N,161.0,Y
96,110000310342,ITW/FOILMARK INC,42.79696,-70.89103,4.699,833.39,1557.0,No Violation,N,9337.0,Y
98,110000310379,UNION SPECIALTIES INC,42.7964,-70.89044,4.704,835.07,2559.0,No Violation,N,2011.0,Y
99,110000310413,PERMUTHANE DIV OF STAHL USA,42.520176,-70.95910400000001,16.358,3248.61,3065.0,No Violation,N,8926.0,Y
100,110000310431,ROUSSELOT GELATINE,42.521667,-70.939444,18.195,4198.8,206.0,In Violation,N,117523.0,Y
102,110000310547,SIKA CORP SIKA SARNAFIL DIV,42.159411999999996,-71.112888,25.933000000000003,1766.19,1152.0,No Violation,N,2463.0,Y
103,110000310565,SCHNEIDER ELECTRIC,42.06838,-71.24756,11.968,893.35,1264.0,In Violation,N,23352.0,Y
104,110000310583,GARELICK FARMS MILK PRODUCTION FACILITY,42.087385999999995,-71.445916,9.015,1058.98,2537.0,No Violation,N,19756.0,Y
105,110000310609,RUSSELECTRIC,42.17409,-70.9161,10.440999999999999,1740.69,6878.0,No Violation,N,41752.0,Y
106,110000310645,CAMGER COATINGS SYSTEMS,42.10951,-71.36209000000001,7.529,1129.33,1277.0,No Violation,N,7285.0,Y
107,110000310663,OLYMPIC ADHESIVES INC,42.201532,-71.162476,14.353,1825.91,1404.0,No Violation,N,894.0,Y
108,110000310690,SAVOGRAN CO,42.18639,-71.19858,14.347000000000001,1901.36,927.0,No Violation,N,7317.0,Y
110,110000310725,CALLAHAN CHEMICAL CO,42.120129999999996,-71.26748,14.026,874.9,1123.0,No Violation,N,711.0,Y
112,110000310752,CAPSTAN ATLANTIC,42.084871,-71.303667,12.152000000000001,765.77,1978.0,No Violation,N,50728.0,Y
113,110000310761,GILLETTE MANUFACTURING,42.34512,-71.05441,49.523,17414.49,384.0,No Violation,N,647125.0,Y
115,110000310841,CONSTELLATION MYSTIC GENERATING STATION,42.3905,-71.0673,41.918,15921.69,739.0,In Violation,N,94323.0,Y
116,110000310878,GENZYME CORP,42.36261,-71.11804000000001,35.085,17930.56,1971.0,No Violation,N,921289.0,Y
118,110000311001,FM CALLAHAN & SON,42.429359999999996,-71.04642,41.902,8719.12,1487.0,No Violation,N,316.0,Y
119,110000311047,DUNCAN GALVANIZING,42.406290000000006,-71.06998,41.506,13455.15,1430.0,No Violation,N,82843.0,Y
120,110000311127,CHELSEA SANDWICH PETROLEUM STORAGE FACILITY,42.38685,-71.04518,45.641999999999996,12799.79,776.0,In Violation,N,1088.0,Y
121,110000311136,GULF OIL TERMINAL,42.395,-71.02135,46.867,11088.14,213.0,In Violation,N,2382.0,Y
122,110000311172,IRVING OIL TERMINAL,42.395705,-71.00586,50.284,10361.8,54.0,In Violation,N,7809.0,Y
123,110000311190,TWIN RIVERS TECHNOLOGIES  OLEOCHEMICAL PLANT,42.245278000000006,-70.969335,23.674,5311.73,151.0,In Violation,N,0.0,Y
124,110000311243,PURECOAT NORTH,42.395109999999995,-71.15961,23.778000000000002,9062.55,187.0,No Violation,N,60217.0,Y
125,110000311289,WOLLASTON ALLOYS,42.2222,-71.0361,28.982,3092.77,549.0,In Violation,N,78698.0,Y
128,110000311421,GLOBE COMPOSITE SOLUTIONS,42.10208,-70.90868,7.435,1644.58,3672.0,No Violation,N,1300.0,Y
129,110000311449,INDUSTRIAL BLAST COIL CORP,42.05104,-71.08093000000001,20.83,1213.41,6239.0,No Violation,N,0.0,Y
130,110000311485,GENON CANAL GENERATING STATION,41.7698,-70.5091,5.447,501.27,131.0,In Violation,N,9350.0,Y
131,110000311500,BRAININ ADVANCE INDUSTRIES,41.91948,-71.32413000000001,17.118,1909.58,2405.0,No Violation,N,35.0,Y
132,110000311519,METALOR TECHNOLOGIES USA,41.94198,-71.2769,15.04,1433.15,1110.0,In Violation,N,296145.0,Y
133,110000311528,GENERAL METAL FINISHING LLC,41.91904,-71.3234,17.145,1908.89,1767.0,No Violation,N,28370.0,Y
135,110000311582,RUST-OLEUM,41.937222999999996,-71.289923,15.530999999999999,1473.96,1147.0,No Violation,N,999.0,Y
136,110000311591,COMTRAN CORP,41.89642,-71.38025,38.994,4770.3,2292.0,No Violation,N,0.0,Y
137,110000311680,LIGHTOLIER FALL RIVER,41.747440000000005,-71.11339,7.827999999999999,1570.17,618.0,No Violation,N,37978.0,Y
139,110000311797,PRECIX,41.67457,-70.92034,27.799,2761.28,982.0,No Violation,N,994.0,Y
140,110000311804,ATI ALLEGHENY LUDLUM FLAT ROLLED PRODUCTS PLANT,41.603889,-70.904444,26.559,4541.73,53.0,No Violation,N,22.0,Y
141,110000311822,SYMMETRY MEDICAL,41.7191,-70.9632,11.732999999999999,701.68,2747.0,No Violation,N,18094.0,Y
142,110000311859,AMETEK HCC AEGIS,41.70612,-70.94969,13.343,1244.52,1385.0,No Violation,N,89.0,Y
144,110000311902,STAR PLATING,41.662971,-70.919616,28.368000000000002,3431.79,2222.0,No Violation,N,12191.0,Y
145,110000311911,DARTMOUTH POWER GENERATING PLANT,41.67365,-70.9998,18.664,598.08,59.0,No Violation,N,1709.0,Y
147,110000311957,METALOR REFINING,41.98305,-71.30004,10.687000000000001,1636.3,1831.0,No Violation,N,379714.0,Y
148,110000311966,METFAB ENGINEERING INC,41.98446,-71.30058000000001,10.126,1594.44,3847.0,No Violation,N,13375.0,Y
149,110000311975,V H BLACKINTON & CO INC,41.979890000000005,-71.3002,11.82,1695.33,2413.0,No Violation,N,807.0,Y
150,110000312019,DEPUY ORTHOPAEDICS,41.89985,-71.03087,13.297,859.19,584.0,No Violation,N,102837.0,Y
151,110000312064,TAUNTON MUNICIPAL LIGHTING CLEARY PLANT,41.86622,-71.11295,17.612000000000002,1147.34,45.0,No Violation,N,782.0,Y
152,110000312073,WATERS CORP,41.95257,-71.13507,9.201,751.89,928.0,In Violation,N,598816.0,Y
153,110000312082,SAINT-GOBAIN PERFORMANCE PLASTICS,41.678611,-71.258333,4.925,2152.16,369.0,No Violation,N,150806.0,Y
154,110000312108,COVALENCE SPECIALTY ADHESIVES (BERRY PLASTICS),41.702574,-71.26925,5.003,2139.83,312.0,No Violation,N,11911.0,Y
155,110000312117,KENYON INDUSTRIES,41.445937,-71.626246,6.115,209.17,94.0,In Violation,N,18915.0,Y
156,110000312171,SEMICONDUCTOR COMPONENT INDUSTRIES OF RI,41.644519,-71.495387,8.236,1123.52,248.0,In Violation,N,62.0,Y
159,110000312251,COOLEY INCORPORATED,41.858533,-71.39066700000001,42.028999999999996,7266.1,571.0,No Violation,N,18347.0,Y
160,110000312297,PROVIDENCE METALLIZING CO IN C,41.873611,-71.409722,42.816,6344.74,656.0,No Violation,N,41481.0,Y
161,110000312340,NEPTCO INC,41.877608,-71.36318299999999,39.418,4868.87,264.0,In Violation,N,2736.0,Y
162,110000312368,TEKNOR APEX CO,41.8855,-71.3637,39.231,4714.61,409.0,No Violation,N,633.0,Y
163,110000312377,TRUEX INC,41.88,-71.36,39.817,4623.81,8574.0,No Violation,N,697918.0,Y
164,110000312439,OKONITE WIRE & CABLE,41.928144,-71.42795600000001,15.19,1538.9,186.0,In Violation,N,8462.0,Y
166,110000312484,GENERAL CABLE CO,41.921944,-71.477222,9.766,650.95,6233.0,No Violation,N,1420567.0,Y
167,110000312518,MATERION TECHNICAL MATERIALS INC,41.919092,-71.47914200000001,9.2,647.57,502.0,In Violation,N,648873.0,Y
168,110000312536,TANURY INDUSTRIES INC.,41.929983,-71.481628,9.995,708.61,522.0,No Violation,N,1628.0,Y
169,110000312607,DEWAL INDUSTRIES INC.,41.492145,-71.430329,5.449,660.14,249.0,No Violation,N,8552.0,Y
171,110000312670,PEASE & CURREN INC,41.74133,-71.44252,15.585,3202.45,369.0,No Violation,N,12416.0,Y
175,110000312885,MONARCH METAL FINISHING CO. INC.,41.791540000000005,-71.400388,47.672,7052.34,81.0,No Violation,N,6684.0,Y
176,110000312894,MOTIVA PETROLEUM TERMINAL,41.799409999999995,-71.3996,51.739,7538.71,429.0,No Violation,N,2282.0,Y
178,110000312947,IRA GREEN INCORPORATED,41.79159,-71.40012,47.631,7043.4,130.0,No Violation,N,21167.0,Y
179,110000312974,PILGRIM SCREW CORP,41.976834999999994,-71.453239,13.35,1269.92,5771.0,No Violation,N,1398.0,Y
182,110000313072,TECHNIC INC,41.791767,-71.445335,55.446000000000005,6641.47,404.0,No Violation,N,20003.0,Y
184,110000313134,DSM NEORESINS INC,41.79983,-71.348988,23.16,2883.99,563.0,No Violation,N,65978.0,Y
185,110000313152,EXXONMOBIL EAST PROVIDENCE TERMINAL,41.787793,-71.34358399999999,19.919,2597.29,101.0,In Violation,Y,18215.0,Y
186,110000313189,ORGANIC DYESTUFFS CORPORATION,41.820316999999996,-71.382255,49.463,6226.27,1521.0,No Violation,N,2418.0,Y
187,110000313287,GANNON & SCOTT INC,41.741847,-71.451319,15.415,2997.01,2960.0,No Violation,N,61.0,Y
188,110000313321,PARKER HANNIFIN CORP CHOMERICS DIV,42.73045,-71.43051,20.340999999999998,2019.52,699.0,No Violation,N,8345.0,Y
189,110000313447,COORSTEK IGNITER PRODUCTS,42.82781,-71.637598,6.553,639.87,262.0,No Violation,N,57003.0,Y
190,110000313465,MASS DESIGN INC,42.75626,-71.4906,18.896,2834.93,122.0,No Violation,N,156.0,Y
191,110000313517,BRONZE CRAFT CORP,42.752096,-71.48563399999999,18.94,2898.13,320.0,No Violation,N,46383.0,Y
192,110000313606,GENERAL CABLE INDUSTRIES INC,42.993970000000004,-71.47268000000001,17.879,3748.47,5967.0,No Violation,N,21656.0,Y
193,110000313615,FREUDENBERG SEALING TECHNOLOGIES VIBRACOUSTIC,42.932970000000005,-71.44143000000001,12.276,1152.22,1102.0,No Violation,N,1550.0,Y
194,110000313633,NYLON CORP OF AMERICA,42.970869,-71.471921,18.222,3394.66,345.0,In Violation,N,304.0,Y
196,110000313660,GE CO,43.061504,-71.447873,8.482999999999999,706.39,241.0,No Violation,N,182736.0,Y
197,110000313697,WEBSTER VALVE,43.42499,-71.65416,4.8580000000000005,350.03,229.0,No Violation,N,3371350.0,Y
198,110000313704,OSRAM SYLVANIA AUTOMOTIVE LIGHTING DIV,43.1117,-71.91656,4.85,209.33,394.0,No Violation,N,14679.0,Y
199,110000313731,NEW HAMPSHIRE BALL BEARINGS,43.54442,-71.49155,6.431,791.35,144.0,No Violation,N,183058.0,Y
200,110000313740,AAVID THERMALLOY,43.54687,-71.491314,6.455,788.69,1528.0,No Violation,N,16580.0,Y
201,110000313795,ELEKTRISOLA INC.,43.326609999999995,-71.640759,3.582,113.34,684.0,No Violation,N,633178.0,Y
202,110000313802,PSNH MERRIMACK GENERATING STATION,43.1411,-71.4692,4.563,419.2,52.0,In Violation,N,176276.0,Y
203,110000313848,EMD MILLIPORE CORPORATION,42.799372999999996,-71.985188,5.292000000000001,201.29,1111.0,No Violation,N,63088.0,Y
204,110000313928,HQ NEW ENGLAND WIRE TECHNOLOGIES CORPORATION,44.21562,-71.9062,3.222,58.66,108.0,No Violation,N,358696.0,Y
205,110000313955,TIMKEN AEROSPACE,43.638521000000004,-72.285855,11.667,540.78,342.0,No Violation,N,5108.0,Y
206,110000313964,STURM RUGER FIREARMS MANUFACTURING FACILITY,43.379828,-72.152415,3.536,215.32,774.0,No Violation,N,672729.0,Y
207,110000314008,TE - INTEGRATED CABLE SYSTEMS,43.098061,-70.799578,6.921,793.07,710.0,No Violation,N,1688579.0,Y
208,110000314035,URASEAL INC,43.19532,-70.87184,11.283,1035.3,4695.0,No Violation,N,2.0,Y
209,110000314044,CHEMTAN CO INC,42.97095,-70.89972,5.011,472.79,3007.0,No Violation,N,4.0,Y
210,110000314080,HUTCHINSON SEALING SYSTEMS,43.02431,-70.93948,5.895,437.75,234.0,No Violation,N,40538.0,Y
211,110000314197,GENERAL ELECTRIC METERS DIVISION,43.259257,-70.862083,10.536,716.98,296.0,No Violation,N,61649.0,Y
212,110000314204,PRATT & WHITNEY,43.30808,-70.72914,4.001,169.5,41.0,No Violation,N,368453.0,Y
213,110000314240,SABRE YACHTS,43.910133,-70.508116,3.286,193.66,437.0,No Violation,N,11755.0,Y
214,110000314348,NICHOLS PORTLAND DIVISION PARKER HANNIFIN CORPORATION,43.65059,-70.33885,13.273,1334.75,1649.0,No Violation,N,46520.0,Y
215,110000314357,GULF OIL TERMINAL,43.651596000000005,-70.239501,13.661,3743.87,551.0,No Violation,N,1692.0,Y
216,110000314375,FAIRCHILD SEMICONDUCTOR,43.640687,-70.325903,13.409,1536.77,67.0,No Violation,N,2366.0,Y
217,110000314393,CITGO PETROLEUM TERMINAL,43.637314,-70.267927,13.375,3067.15,114.0,In Violation,N,4217.0,Y
218,110000314419,GENERAL ELECTRIC INDUSTRIAL SYSTEMS DIVISION,44.07,-70.25,13.742,1103.16,1025.0,No Violation,N,1337229.0,Y
220,110000314482,JONES & VINING INC,44.08162,-70.16976,13.55,1346.88,592.0,No Violation,N,3676.0,Y
221,110000314507,ELMET TECHNOLOGIES,44.071632,-70.171461,14.155999999999999,1174.29,408.0,No Violation,N,2077.0,Y
223,110000314605,BATH IRON WORKS,43.91,-69.815,5.558,458.15,79.0,No Violation,N,71701.0,Y
224,110000314650,TATE & LYLE INGREDIENTS,46.108056,-67.8825,7.026,193.3,48.0,In Violation,N,3700.0,Y
225,110000314749,TASMAN LEATHER GROUP LLC,44.882197,-69.448538,3.468,81.68,152.0,No Violation,N,104582.0,Y
226,110000314758,ENERGIZER BATTERY MANUFACTURING INC,42.88151,-73.19102,4.956,462.45,215.0,No Violation,N,43456.0,Y
227,110000314810,CHAMPLAIN CABLE,44.510756,-73.176005,13.09,1618.35,3250.0,No Violation,N,657.0,Y
228,110000314829,HAZELETT STRIP-CASTING,44.54572,-73.21844,8.097999999999999,806.8,543.0,No Violation,N,41182.0,Y
229,110000314847,IBM SYSTEMS & TECHNOLOGY SEMICONDUCTOR FACILITY,44.481636,-73.090622,8.103,841.43,39.0,In Violation,N,212683.0,Y
230,110000314865,ST ALBANS COOPERATIVE CREAMERY INC,44.81563,-73.08485,5.952999999999999,439.83,1416.0,No Violation,N,54000.0,Y
231,110000314892,CABOT CREAMERY CO-OP,44.400984,-72.313681,3.2710000000000004,38.17,3588.0,No Violation,N,62929.0,Y
232,110000314909,GENERAL ELECTRIC AVIATION PLANT 1,43.606542,-72.99323100000001,4.5889999999999995,750.55,817.0,In Violation,N,36708.0,Y
233,110000314936,GE AVIATION PLANT 2,43.576873,-72.959048,5.013,594.7,535.0,No Violation,N,237783.0,Y
234,110000314945,WEIDMANN ELECTRICAL TECHNOLOGY INC,44.48239,-72.01343,3.2539999999999996,95.66,802.0,No Violation,N,9098.0,Y
235,110000314954,TIVOLY INC,45.00411,-72.10736,3.534,119.91,906.0,In Violation,N,603.0,Y
236,110000314972,REFLEXITE CORPORATION,41.80405,-72.84317,11.594000000000001,737.85,438.0,In Violation,N,1237.0,Y
237,110000315007,KAMATICS CORP,41.85821,-72.7093,61.86,933.54,150.0,No Violation,N,15695.0,Y
239,110000315105,BARNES GROUP INC.,41.668396,-72.943248,17.633,1998.1,214.0,In Violation,N,3.0,Y
240,110000315150,WINDSOR AIRMOTIVE,41.93072,-72.71515,17.055,356.38,1124.0,No Violation,N,10309.0,Y
241,110000315249,STANLEY WORKS HAND TOOLS DIV.,41.67013,-72.79975999999999,45.479,3119.03,151.0,No Violation,N,55494.0,Y
242,110000315285,PAPE ELECTROPLATING,41.66547,-72.75636999999999,41.028999999999996,3402.48,375.0,In Violation,N,18364.0,Y
243,110000315347,PLAINVILLE PLATING COMPANY INC.,41.670590000000004,-72.88186,15.25,1841.88,521.0,No Violation,N,260.0,Y
244,110000315374,ANOCOIL CORP ROCKVILLE,41.866654,-72.441389,17.555,1158.46,472.0,In Violation,N,28343.0,Y
245,110000315409,DYNO NOBEL,41.869054999999996,-72.805771,12.669,596.11,45.0,In Violation,N,60379.0,Y
246,110000315445,TTM PRINTED CIRCUIT BOARD FABRICATION,41.985839,-72.290487,6.984,305.6,513.0,In Violation,N,195540.0,Y
